#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Dec 02 20:53:57 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AFG3000_FPGA_map.ncd
#OUTPUT FILE:      AFG3000_FPGA_pad.csv
#PART TYPE:        xc3s1400a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
C14,AM_DA9747_Data<8>,IOB,IO_L09P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C15,AM_DA9747_Data<3>,IOB,IO_L11N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C16,DA9747_Data<14>,IOB,IO_L08N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
C17,DA9747_Data<11>,IOB,IO_L07N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
C18,DA9747_Data<7>,IOB,IO_L05P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
C19,DA9747_Data<4>,IOB,IO_L02N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
C20,,,GND,,,,,,,,,,,,,
C21,,DIFFSLR,IO_L44N_1/A21,UNUSED,,1,,,,,,,,,,
C22,,DIFFMLR,IO_L44P_1/A20,UNUSED,,1,,,,,,,,,,
D1,,DIFFMLR,IO_L06P_3,UNUSED,,3,,,,,,,,,,
D2,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,,
D3,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,,
D4,,,TMS,,,,,,,,,,,,,
D5,,DIFFSTB,IO_L32N_0,UNUSED,,0,,,,,,,,,,
D6,AD9224_IN<5>,IBUF,IO_L29N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
D7,AD9224_IN<7>,IBUF,IO_L27P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
D8,AD9224_IN<9>,IBUF,IO_L30N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
D9,,,GND,,,,,,,,,,,,,
D10,,DIFFMTB,IO_L23P_0,UNUSED,,0,,,,,,,,,,
D11,,DIFFMTB,IO_L20P_0/GCLK10,UNUSED,,0,,,,,,,,,,
D12,,,VCCAUX,,,,,,,,2.5,,,,,
D13,AM_DA9747_Data<13>,IOB,IO_L15P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D14,,,GND,,,,,,,,,,,,,
D15,AM_DA9747_Data<4>,IOB,IO_L11P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D16,DA9747_Data<15>,IOB,IO_L08P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
D17,DA9747_Data<12>,IOB,IO_L07P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
D18,DA9747_Data<8>,IOB,IO_L01N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
D19,DA9747_Data<5>,IOB,IO_L02P_0/VREF_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
D20,CVG_DAC7821_Data<10>,IOB,IO_L42N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D21,CVG_DAC7821_Data<11>,IOB,IO_L42P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D22,CVG_DAC7821_Data<7>,IOB,IO_L41N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E1,,DIFFSLR,IO_L06N_3,UNUSED,,3,,,,,,,,,,
E2,,,VCCO_3,,,3,,,,,1.80,,,,,
E3,DDR2_DM<1>,IOBLR,IO_L07N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
E4,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,,
E5,,,VCCAUX,,,,,,,,2.5,,,,,
E6,,DIFFSTB,IO_L35N_0,UNUSED,,0,,,,,,,,,,
E7,Do_Ctrl,IOB,IO_L34P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E8,KB_Bus<2>,IBUF,IP_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
E9,AD9224_IN<11>,IBUF,IO_L30P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
E10,,DIFFSTB,IO_L23N_0,UNUSED,,0,,,,,,,,,,
E11,,DIFFSTB,IO_L20N_0/GCLK11,UNUSED,,0,,,,,,,,,,
E12,Clock,IBUF,IO_L17N_0/GCLK5,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
E13,AM_DA9747_Data<14>,IOB,IO_L14N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E14,AM_DA9747_Data<9>,IOB,IO_L09N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E15,AM_DA9747_Data<5>,IOB,IO_L04P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
E17,DA9747_Data<13>,IOB,IO_L01P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
E18,,,VCCAUX,,,,,,,,2.5,,,,,
E19,,,TDO,,,,,,,,,,,,,
E20,CVG_DAC7821_Data<5>,IOB,IO_L38P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E21,,,VCCO_1,,,1,,,,,3.30,,,,,
E22,CVG_DAC7821_Data<6>,IOB,IO_L41P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F1,DDR2_DQ<13>,IOBLR,IO_L12N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
F2,DDR2_DQ<8>,IOBLR,IO_L12P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
F3,DDR2_DQ<15>,IOBLR,IO_L08P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
F4,,DIFFMLR,IO_L07P_3,UNUSED,,3,,,,,,,,,,
F5,,,TDI,,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,,
F7,,DIFFMTB,IO_L35P_0,UNUSED,,0,,,,,,,,,,
F8,KD_Bus<2>,IOB,IO_L34N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F9,,,VCCO_0,,,0,,,,,3.30,,,,,
F10,KB_Bus<4>,IBUF,IP_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
F11,,,GND,,,,,,,,,,,,,
F12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
F13,AM_DA9747_Data<15>,IOB,IO_L14P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F14,,,VCCO_0,,,0,,,,,3.30,,,,,
F15,AM_DA9747_Data<6>,IOB,IO_L04N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
F17,,,GND,,,,,,,,,,,,,
F18,CVG_DAC7821_Data<9>,IOB,IO_L40N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F19,CVG_DAC7821_Data<8>,IOB,IO_L40P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F20,CVG_DAC7821_Data<4>,IOB,IO_L38N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F21,CVG_DAC7821_Data<3>,IOB,IO_L34N_1/A19,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F22,CVG_DAC7821_Data<2>,IOB,IO_L34P_1/A18,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G1,DDR2_DQ<10>,IOBLR,IO_L13N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
G2,,,GND,,,,,,,,,,,,,
G3,DDR2_DQ<14>,IOBLR,IO_L13P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
G4,DDR2_DQ<9>,IOBLR,IO_L08N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
G5,,DIFFSLR,IO_L05N_3,UNUSED,,3,,,,,,,,,,
G6,,DIFFMLR,IO_L05P_3,UNUSED,,3,,,,,,,,,,
G7,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G8,KB_Bus<0>,IBUF,IP_0/VREF_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
G9,KB_Bus<1>,IBUF,IP_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
G10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G11,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G15,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
G17,,DIFFSLR,IO_L46N_1/A25,UNUSED,,1,,,,,,,,,,
G18,,DIFFMLR,IO_L46P_1/A24,UNUSED,,1,,,,,,,,,,
G19,CVG_DAC7821_Data<1>,IOB,IO_L36P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G20,CVG_DAC7821_Data<0>,IOB,IO_L36N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G21,,,GND,,,,,,,,,,,,,
G22,HC4051_SELs<0>,IOB,IO_L30N_1/A15,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H1,DDR2_DQ<0>,IOBLR,IO_L16N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
H2,DDR2_DQ<7>,IOBLR,IO_L16P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
H3,RST_DQS_DIV_OUT,IOBLR,IO_L14N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
H4,RST_DQS_DIV_IN,IBUF,IO_L14P_3,INPUT,SSTL18_II,3,,,,IBUF,,LOCATED,,NO,NONE,
H5,DDR2_DQ<12>,IOBLR,IO_L09P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
H6,DDR2_DQ<11>,IOBLR,IO_L09N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
H7,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
H8,,DIFFMI_NDT,IP_L04P_3,UNUSED,,3,,,,,,,,,,
H9,KB_Bus<3>,IBUF,IP_0/VREF_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
H10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
H11,,,VCCAUX,,,,,,,,2.5,,,,,
H12,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,,
H13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
H14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,,
H15,,DIFFSI_NDT,IP_L47N_1,UNUSED,,1,,,,,,,,,,
H16,,DIFFMI_NDT,IP_L47P_1/VREF_1,UNUSED,,1,,,,,,,,,,
H17,,DIFFMI_NDT,IP_L39P_1,UNUSED,,1,,,,,,,,,,
H18,,DIFFSI_NDT,IP_L39N_1,UNUSED,,1,,,,,,,,,,
H19,CVG_DAC7821_RWbar,IOB,IO_L37N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H20,CVG_DAC7821_CSbar,IOB,IO_L33N_1/A17,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H21,SYNC_OUT,IOB,IO_L33P_1/A16,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H22,HC4051_SELs<1>,IOB,IO_L30P_1/A14,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J1,,DIFFSLR,IO_L17N_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
J2,,,VCCO_3,,,3,,,,,1.80,,,,,
J3,DDR2_DM<0>,IOBLR,IO_L17P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
J4,,,GND,,,,,,,,,,,,,
J5,DDR2_DQS_N<1>,DIFFSLR,IO_L10N_3,BIDIR,DIFF_SSTL18_II,3,,,NONE**,NONE,,LOCATED,,YES,NONE,
J6,,,VCCO_3,,,3,,,,,1.80,,,,,
J7,,DIFFMI_NDT,IP_L11P_3,UNUSED,,3,,,,,,,,,,
J8,,DIFFSI_NDT,IP_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,,
J11,,,GND,,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,,
J13,,,GND,,,,,,,,,,,,,
J14,,,GND,,,,,,,,,,,,,
J15,,DIFFSI_NDT,IP_L43N_1/VREF_1,UNUSED,,1,,,,,,,,,,
J16,,DIFFMI_NDT,IP_L43P_1,UNUSED,,1,,,,,,,,,,
J17,,,VCCO_1,,,1,,,,,3.30,,,,,
J18,Trigout_Pin,IOB,IO_L37P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J19,,,GND,,,,,,,,,,,,,
J20,CPU_Addr<25>,IBUF,IO_L29N_1/A13,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
J21,CPU_Addr<10>,IBUF,IO_L29P_1/A12,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
J22,CPU_Addr<9>,IBUF,IO_L26N_1/A11,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
K1,DDR2_DQ<2>,IOBLR,IO_L22P_3/LHCLK2,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
K2,DDR2_DQS_N<0>,DIFFSLR,IO_L20N_3,BIDIR,DIFF_SSTL18_II,3,,,NONE**,NONE,,LOCATED,,YES,NONE,
K3,DDR2_DQS<0>,DIFFMLR,IO_L20P_3,BIDIR,DIFF_SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
K4,DDR2_DQ<6>,IOBLR,IO_L18N_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
K5,DDR2_DQ<1>,IOBLR,IO_L18P_3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
K6,DDR2_DQS<1>,DIFFMLR,IO_L10P_3,BIDIR,DIFF_SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
K7,,DIFFMI_NDT,IP_L15P_3,UNUSED,,3,,,,,,,,,,
K8,,DIFFSI_NDT,IP_L11N_3,UNUSED,,3,,,,,,,,,,
